Customer Name,Customer Address,Product Name,Color,Material,Category,Total Quantity Sold,Inventory (Stock),Price (Before GST),GST Amount,Discount (%),Profit,Total Price (With GST),Transaction Date,Year,Month,Day
Vanya Salvi,"Shalimar Bagh, Delhi - 110053",Sofa,Brown,Glass,Sofa,4,16,20464,4519,15,8308,21235.55,2021-03-10,2021,3,10
Nisha Golla,"Karol Bagh, Delhi - 110053",Mattress,Grey,Metal,Mattress,2,6,28695,1814,5,1189,28983.55,2020-06-03,2020,6,3
Krishna Srinivasan,"Alipur, Delhi - 110080",Dressing Table,Blue,Wood,Dressing Table,2,9,49283,1114,15,9498,42837.45,2020-11-27,2020,11,27
Alka Mittal,"Vasant Kunj, Delhi - 110009",Sofa,Brown,Board,Sofa,6,9,44984,1154,10,9272,41524.2,2021-12-13,2021,12,13
Riya Nayak,"Pranshant Vihar, Delhi - 110015",Mandir,Green,Plastic,Mandir,7,22,21014,4649,15,5548,21813.55,2021-08-14,2021,8,14
Quincy Prabhu,"Janakpuri, Delhi - 110029",Cooler,Blue,Iron,Cooler,1,8,39174,4536,10,4884,39339.0,2023-01-15,2023,1,15
Vansha Nair,"Holambi, Delhi - 110001",Sofa,Blue,Metal,Sofa,7,9,7330,1445,5,4553,8336.25,2023-05-24,2023,5,24
Radhika Choudhary,"Lampur Border, Delhi - 110071",Mandir,Yellow,Board,Mandir,5,21,13125,3285,20,5225,13128.0,2024-10-04,2024,10,4
Wyatt Yogi,"Shalimar Bagh, Delhi - 110036",Bed - Single Bed,Black,Glass,Bed,4,7,39801,3541,10,6176,39007.8,2023-11-21,2023,11,21
Omya Sekhon,"Janakpuri, Delhi - 110044",Bed - Double Bed,White,Wood,Bed,10,14,27614,1836,15,1428,25032.5,2020-04-11,2020,4,11
Jatin Chowdhury,"Vasant Kunj, Delhi - 110070",Sofa,Grey,Metal,Sofa,2,9,27520,2821,20,9120,24272.8,2024-08-17,2024,8,17
Zarna Shanker,"Alipur, Delhi - 110028",Chair,White,Wood,Chair,7,20,41570,566,10,6236,37922.4,2024-03-23,2024,3,23
Pranit Dar,"Pranshant Vihar, Delhi - 110012",Cupboard,Blue,Glass,Cupboard,6,23,28297,4777,5,4332,31420.3,2020-10-26,2020,10,26
Tara Lala,"Lampur Border, Delhi - 110011",Bed - Double Bed,Black,Iron,Bed,7,19,17279,4042,20,9006,17056.8,2023-05-10,2023,5,10
Devansh Ramachandran,"Saket, Delhi - 110020",Chair,White,Plastic,Chair,5,16,46580,3575,20,4469,40124.0,2023-07-24,2023,7,24
Benjamin Borah,"Rohini, Delhi - 110010",Cupboard,Green,Metal,Cupboard,3,12,11235,1404,5,8417,12007.05,2022-01-28,2022,1,28
Rushil Raman,"Lampur Border, Delhi - 110091",Sofa,Green,Glass,Sofa,4,21,43410,3271,15,7931,39678.85,2020-02-16,2020,2,16
Advay Rattan,"Karol Bagh, Delhi - 110072",Cooler,Yellow,Metal,Cooler,5,21,15769,3866,15,8984,16689.75,2024-08-17,2024,8,17
Triya Bansal,"Alipur, Delhi - 110068",Chair,Black,Board,Chair,7,11,9564,4864,10,821,12985.2,2022-12-02,2022,12,2
Gayathri Varma,"Dwarka, Delhi - 110064",Sofa,Brown,Plastic,Sofa,2,6,36166,1661,20,3471,30261.6,2024-04-18,2024,4,18
Fariq Ratti,"Vasant Kunj, Delhi - 110058",Chair,Yellow,Glass,Chair,2,12,34452,2982,5,2432,35562.3,2024-08-06,2024,8,6
Chasmum Mohan,"Singhu Border, Delhi - 110022",Mattress,Grey,Plastic,Mattress,9,12,37404,1711,15,5546,33247.75,2022-08-05,2022,8,5
Bachittar Ganguly,"Shalimar Bagh, Delhi - 110085",Sofa,White,Plastic,Sofa,4,9,46002,4125,10,3939,45114.3,2024-02-14,2024,2,14
Pushti Narang,"Pitampura, Delhi - 110047",Bed - Double Bed,Red,Board,Bed,3,16,36191,2786,10,4646,35079.3,2024-04-05,2024,4,5
Vasudha Balay,"Alipur, Delhi - 110097",Sofa,Blue,Metal,Sofa,4,8,9630,2745,15,8313,10518.75,2021-06-02,2021,6,2
Radha Keer,"Karol Bagh, Delhi - 110073",Dressing Table,Red,Iron,Dressing Table,2,9,41491,4565,10,7037,41450.4,2022-04-04,2022,4,4
Imaran Sangha,"Dwarka, Delhi - 110068",Mattress,Blue,Iron,Mattress,6,9,44308,3649,15,2415,40763.45,2022-08-20,2022,8,20
Finn Dhar,"Vasant Kunj, Delhi - 110046",Mattress,Black,Metal,Mattress,3,16,42464,929,15,805,36884.05,2024-08-09,2024,8,9
Aryan Mallick,"Janakpuri, Delhi - 110002",Mattress,Blue,Wood,Mattress,6,12,23964,4007,15,1037,23775.35,2021-12-17,2021,12,17
Victor Pai,"Narela, Delhi - 110091",Cupboard,Blue,Glass,Cupboard,5,18,30929,3070,20,3385,27199.2,2020-09-03,2020,9,3
Fitan Ramaswamy,"Karol Bagh, Delhi - 110024",Bed - Double Bed,Grey,Plastic,Bed,9,28,5985,3238,20,6515,7378.4,2022-12-08,2022,12,8
Waida Srinivasan,"Saket, Delhi - 110069",Chair,Yellow,Glass,Chair,3,15,12687,3773,15,1269,13991.0,2024-08-31,2024,8,31
Faras Master,"Karol Bagh, Delhi - 110029",Bed - Single Bed,Grey,Metal,Bed,10,15,16909,2559,20,7724,15574.4,2021-12-23,2021,12,23
Unni Nath,"Janakpuri, Delhi - 110075",Cooler,Blue,Metal,Cooler,9,24,6173,1825,10,5648,7198.2,2021-07-02,2021,7,2
Chandran Kalla,"Holambi, Delhi - 110098",Bed - Double Bed,Blue,Wood,Bed,2,11,15210,2273,15,971,14860.55,2023-02-08,2023,2,8
Kashvi Lall,"Holambi, Delhi - 110067",Sofa,Black,Glass,Sofa,9,24,42262,4676,5,1531,44591.1,2022-09-01,2022,9,1
Fiyaz Bali,"Lampur Border, Delhi - 110012",Bed - Single Bed,Brown,Metal,Bed,10,25,18159,2013,5,8035,19163.4,2022-07-19,2022,7,19
Benjamin Sodhi,"Saket, Delhi - 110090",Chair,Yellow,Metal,Chair,4,21,6182,4912,20,5596,8875.2,2024-09-11,2024,9,11
Pooja Thakur,"Dwarka, Delhi - 110018",Dressing Table,Grey,Wood,Dressing Table,4,17,17178,3936,15,9428,17946.9,2020-09-06,2020,9,6
Faris Desai,"Lampur Border, Delhi - 110084",Mattress,Yellow,Board,Mattress,1,14,35086,4433,5,5262,37543.05,2024-12-17,2024,12,17
Laksh Rajan,"Dwarka, Delhi - 110013",Mattress,Green,Glass,Mattress,5,17,24066,2713,15,5182,22762.15,2021-08-20,2021,8,20
Vivaan Saxena,"Singhu Border, Delhi - 110050",Mattress,Green,Board,Mattress,3,21,45486,1978,5,3917,45090.8,2020-02-05,2020,2,5
Kala Biswas,"Saket, Delhi - 110072",Cooler,Brown,Wood,Cooler,10,19,33458,4967,10,1518,34582.5,2021-07-09,2021,7,9
Udyati Deep,"Lajpat Nagar, Delhi - 110024",Bed - Double Bed,Brown,Iron,Bed,5,7,28479,1109,20,2815,23670.4,2023-05-18,2023,5,18
Udant Bhakta,"Alipur, Delhi - 110033",Dressing Table,White,Metal,Dressing Table,1,2,5829,608,15,7989,5471.45,2021-10-02,2021,10,2
Daksh Chana,"Lajpat Nagar, Delhi - 110041",Sofa,Red,Metal,Sofa,8,17,31304,2576,15,7229,28798.0,2024-07-26,2024,7,26
Divya Saraf,"Pranshant Vihar, Delhi - 110058",Chair,Green,Wood,Chair,2,19,28233,1139,15,1694,24966.2,2022-07-22,2022,7,22
Luke Ravi,"Pitampura, Delhi - 110079",Dressing Table,Grey,Metal,Dressing Table,5,15,31693,657,15,5773,27497.5,2024-07-03,2024,7,3
Isaac Garg,"Saket, Delhi - 110040",Mattress,White,Board,Mattress,8,16,36107,3491,5,5606,37618.1,2020-02-22,2020,2,22
Vivaan Sodhi,"Holambi, Delhi - 110056",Chair,Grey,Wood,Chair,1,10,37882,1133,20,947,31212.0,2023-05-20,2023,5,20
Janaki Choudhary,"Lajpat Nagar, Delhi - 110016",Dressing Table,Grey,Board,Dressing Table,6,17,15616,3595,15,9712,16329.35,2024-04-04,2024,4,4
Yutika Ravel,"Rohini, Delhi - 110011",Dressing Table,Grey,Wood,Dressing Table,8,19,19523,1318,15,2102,17714.85,2023-08-09,2023,8,9
Ishani Soni,"Lampur Border, Delhi - 110006",Mattress,Grey,Iron,Mattress,4,23,20718,3409,20,8914,19301.6,2024-09-17,2024,9,17
Manya Sampath,"Vasant Kunj, Delhi - 110054",Cupboard,Green,Wood,Cupboard,2,22,47182,1587,10,4343,43892.1,2024-02-14,2024,2,14
Varsha Natt,"Dwarka, Delhi - 110064",Bed - Double Bed,Grey,Iron,Bed,9,20,10018,1394,20,5803,9129.6,2022-03-30,2022,3,30
Aadi Jhaveri,"Karol Bagh, Delhi - 110097",Mandir,Black,Metal,Mandir,1,12,12465,916,15,4710,11373.85,2023-01-13,2023,1,13
Madhavi Walia,"Janakpuri, Delhi - 110049",Sofa,White,Metal,Sofa,2,10,19799,1158,20,9795,16765.6,2024-11-29,2024,11,29
Manya Murthy,"Lampur Border, Delhi - 110029",Cupboard,White,Wood,Cupboard,4,22,38562,1811,5,2284,38354.35,2024-12-01,2024,12,1
Zehaan Thakkar,"Lampur Border, Delhi - 110013",Mattress,Red,Board,Mattress,1,17,40662,1118,5,3014,39691.0,2020-06-21,2020,6,21
Saksham D’Alia,"Singhu Border, Delhi - 110076",Mandir,Red,Wood,Mandir,8,21,41083,1670,20,5121,34202.4,2023-04-21,2023,4,21
Saumya Mand,"Singhu Border, Delhi - 110060",Chair,White,Wood,Chair,7,12,26519,1249,10,3199,24991.2,2024-12-14,2024,12,14
Aadi Goyal,"Janakpuri, Delhi - 110047",Chair,Black,Iron,Chair,3,15,45437,4645,20,6384,40065.6,2023-06-08,2023,6,8
Tripti Joshi,"Holambi, Delhi - 110064",Dressing Table,Green,Board,Dressing Table,7,19,32437,4703,20,8588,29712.0,2020-10-01,2020,10,1
Agastya Chandran,"Shalimar Bagh, Delhi - 110051",Sofa,Red,Board,Sofa,9,15,28576,3595,20,9373,25736.8,2022-06-10,2022,6,10
Avi Bassi,"Singhu Border, Delhi - 110005",Dressing Table,Black,Glass,Dressing Table,6,19,35249,1668,5,3958,35071.15,2020-07-20,2020,7,20
Naksh Deshmukh,"Singhu Border, Delhi - 110004",Dressing Table,Black,Metal,Dressing Table,9,19,24528,1429,5,2531,24659.15,2024-05-24,2024,5,24
Qarin Mohanty,"Vasant Kunj, Delhi - 110070",Chair,Black,Plastic,Chair,10,29,14861,1917,20,7290,13422.4,2024-03-04,2024,3,4
Zayan Nazareth,"Rohini, Delhi - 110041",Cupboard,Red,Glass,Cupboard,4,22,39128,3903,5,5170,40879.45,2020-04-16,2020,4,16
Kashvi Sengupta,"Alipur, Delhi - 110053",Chair,Black,Iron,Chair,4,20,15353,2946,20,5403,14639.2,2022-03-09,2022,3,9
Yoshita Bhatt,"Rohini, Delhi - 110081",Mattress,Black,Metal,Mattress,2,18,32433,4678,5,5649,35255.45,2024-04-15,2024,4,15
Oscar Ranganathan,"Holambi, Delhi - 110086",Sofa,Yellow,Glass,Sofa,6,20,6654,975,15,1337,6484.65,2022-11-15,2022,11,15
Vihaan Balakrishnan,"Saket, Delhi - 110099",Dressing Table,Blue,Board,Dressing Table,6,16,25596,1165,15,5934,22746.85,2020-03-12,2020,3,12
Sarthak Ramesh,"Vasant Kunj, Delhi - 110057",Sofa,Blue,Wood,Sofa,5,6,14035,4170,10,2315,16384.5,2024-01-24,2024,1,24
Jhalak Saha,"Pitampura, Delhi - 110068",Bed - Single Bed,Black,Wood,Bed,3,16,37133,634,10,6605,33990.3,2020-11-19,2020,11,19
Banjeet Varkey,"Saket, Delhi - 110077",Dressing Table,Grey,Wood,Dressing Table,6,9,47003,3586,5,875,48059.55,2022-05-01,2022,5,1
Upma Balan,"Pitampura, Delhi - 110082",Cooler,Grey,Wood,Cooler,2,4,47061,3806,15,2225,43236.95,2022-01-21,2022,1,21
Avni Venkatesh,"Dwarka, Delhi - 110095",Sofa,Grey,Metal,Sofa,8,19,27673,3405,10,8328,27970.2,2020-06-15,2020,6,15
Meghana Rai,"Dwarka, Delhi - 110048",Sofa,Grey,Metal,Sofa,7,26,6258,2101,10,6553,7523.1,2022-08-02,2022,8,2
Zansi Dass,"Janakpuri, Delhi - 110018",Sofa,Black,Wood,Sofa,8,28,31015,2237,15,9445,28264.2,2022-08-26,2022,8,26
Aditya Srinivas,"Lajpat Nagar, Delhi - 110030",Chair,Yellow,Metal,Chair,1,9,24764,575,20,5978,20271.2,2022-02-01,2022,2,1
Watika Pau,"Janakpuri, Delhi - 110075",Bed - Single Bed,Grey,Wood,Bed,6,9,24806,4691,15,3524,25072.45,2024-03-02,2024,3,2
Baghyawati Vora,"Karol Bagh, Delhi - 110001",Cupboard,Black,Glass,Cupboard,9,22,16399,2673,5,2799,18118.4,2021-06-02,2021,6,2
Turvi Thakkar,"Lampur Border, Delhi - 110020",Cooler,Green,Metal,Cooler,4,14,35729,814,10,2594,32888.7,2021-11-28,2021,11,28
Zashil Kulkarni,"Lampur Border, Delhi - 110012",Bed - Double Bed,Green,Wood,Bed,5,16,16740,1405,10,6311,16330.5,2024-03-09,2024,3,9
Faras Swamy,"Rohini, Delhi - 110096",Cooler,Yellow,Wood,Cooler,2,22,8284,1577,15,7911,8381.85,2020-07-20,2020,7,20
Kala Sahni,"Vasant Kunj, Delhi - 110072",Chair,Blue,Iron,Chair,2,11,36210,2868,10,7019,35170.2,2024-03-07,2024,3,7
Chaaya Ben,"Pitampura, Delhi - 110053",Sofa,White,Wood,Sofa,8,16,41077,756,20,8357,33466.4,2024-03-11,2024,3,11
Ikshita Nadig,"Pranshant Vihar, Delhi - 110022",Bed - Double Bed,Grey,Board,Bed,2,16,33432,1975,10,7574,31866.3,2024-12-14,2024,12,14
Rachit Raja,"Vasant Kunj, Delhi - 110073",Sofa,Grey,Wood,Sofa,4,11,38445,3616,10,5226,37854.9,2023-05-23,2023,5,23
Vritti Dash,"Singhu Border, Delhi - 110074",Cupboard,Blue,Wood,Cupboard,6,18,31966,1924,20,8649,27112.0,2024-12-13,2024,12,13
Idika Ahluwalia,"Pitampura, Delhi - 110070",Sofa,Grey,Wood,Sofa,1,17,31273,4662,20,4614,28748.0,2021-06-05,2021,6,5
Gaurika Modi,"Lajpat Nagar, Delhi - 110023",Bed - Single Bed,Green,Plastic,Bed,9,10,34900,4660,5,5844,37582.0,2023-06-27,2023,6,27
Waida Doshi,"Saket, Delhi - 110007",Mattress,Green,Iron,Mattress,7,13,40215,2631,20,6803,34276.8,2023-07-04,2023,7,4
Darsh Soni,"Pranshant Vihar, Delhi - 110040",Sofa,Red,Metal,Sofa,7,24,38103,1414,10,6279,35565.3,2023-10-06,2023,10,6
Ikshita Rege,"Singhu Border, Delhi - 110034",Mandir,Green,Wood,Mandir,4,6,14567,2988,10,2540,15799.5,2021-06-17,2021,6,17
Mohini Choudhury,"Karol Bagh, Delhi - 110057",Mandir,Brown,Iron,Mandir,7,14,15496,4077,10,2636,17615.7,2023-12-08,2023,12,8
Rajata Mitra,"Saket, Delhi - 110070",Mattress,Brown,Iron,Mattress,2,12,5499,4249,10,2554,8773.2,2023-07-03,2023,7,3
Manbir Wadhwa,"Narela, Delhi - 110032",Mattress,Red,Metal,Mattress,4,19,33884,4420,5,5277,36388.8,2023-07-09,2023,7,9
Samesh Nagi,"Shalimar Bagh, Delhi - 110001",Sofa,Grey,Metal,Sofa,6,9,25270,3808,20,2489,23262.4,2020-09-16,2020,9,16
Girindra Goyal,"Vasant Kunj, Delhi - 110059",Chair,Blue,Iron,Chair,8,25,49680,3614,20,5583,42635.2,2022-10-04,2022,10,4
Vasudha Dixit,"Dwarka, Delhi - 110070",Chair,Black,Plastic,Chair,1,18,43843,4996,20,677,39071.2,2023-12-08,2023,12,8
Netra Mane,"Saket, Delhi - 110049",Cupboard,Green,Board,Cupboard,9,28,47304,1384,15,1577,41384.8,2022-01-28,2022,1,28
Dayita Kuruvilla,"Pitampura, Delhi - 110076",Cooler,Yellow,Board,Cooler,1,15,9099,2654,10,6474,10577.7,2024-09-20,2024,9,20
Jasmit Shroff,"Narela, Delhi - 110029",Cooler,Red,Glass,Cooler,10,23,14358,774,20,6139,12105.6,2021-02-27,2021,2,27
Kamya Shenoy,"Saket, Delhi - 110083",Sofa,White,Wood,Sofa,1,4,13279,3883,10,7382,15445.8,2020-10-22,2020,10,22
Sudiksha Gole,"Vasant Kunj, Delhi - 110054",Sofa,Blue,Wood,Sofa,10,16,37559,3593,5,3084,39094.4,2024-04-16,2024,4,16
Parth Nigam,"Janakpuri, Delhi - 110097",Dressing Table,Brown,Glass,Dressing Table,9,14,37840,4436,20,2523,33820.8,2020-10-14,2020,10,14
Zarna Dua,"Janakpuri, Delhi - 110017",Cupboard,Green,Plastic,Cupboard,2,17,48530,3473,5,882,49402.85,2023-12-03,2023,12,3
Samaksh Deep,"Alipur, Delhi - 110062",Mattress,Blue,Wood,Mattress,6,12,24314,2681,10,9915,24295.5,2020-12-24,2020,12,24
Champak Madan,"Janakpuri, Delhi - 110035",Mandir,Red,Wood,Mandir,8,11,46986,3860,15,1422,43219.1,2020-03-02,2020,3,2
Krisha Sha,"Holambi, Delhi - 110099",Chair,Brown,Metal,Chair,1,21,10921,4557,20,8741,12382.4,2021-09-10,2021,9,10
Victor Chahal,"Lampur Border, Delhi - 110022",Sofa,Red,Plastic,Sofa,3,13,15863,2722,5,8614,17655.75,2022-10-21,2022,10,21
Anusha Jain,"Shalimar Bagh, Delhi - 110098",Dressing Table,Black,Wood,Dressing Table,9,13,25675,1001,5,7485,25342.2,2020-12-17,2020,12,17
Kala Sen,"Saket, Delhi - 110091",Mattress,Blue,Wood,Mattress,7,25,21085,2141,5,4568,22064.7,2020-02-27,2020,2,27
Ekantika Bahri,"Karol Bagh, Delhi - 110083",Dressing Table,White,Wood,Dressing Table,7,22,22267,1139,15,8642,19895.1,2020-12-17,2020,12,17
Agastya Ganguly,"Narela, Delhi - 110091",Chair,Black,Wood,Chair,10,12,22485,2696,5,4202,23921.95,2024-06-17,2024,6,17
Henry Balay,"Pranshant Vihar, Delhi - 110029",Cooler,Yellow,Plastic,Cooler,4,22,46545,3999,20,937,40435.2,2023-03-30,2023,3,30
Omkaar Raghavan,"Lampur Border, Delhi - 110038",Dressing Table,Grey,Board,Dressing Table,9,19,22374,2915,5,7034,24024.55,2023-01-03,2023,1,3
Gautam Din,"Rohini, Delhi - 110020",Mandir,Blue,Iron,Mandir,9,12,35470,4381,10,3951,35865.9,2020-06-02,2020,6,2
Lila Gala,"Pitampura, Delhi - 110098",Mandir,Brown,Board,Mandir,1,5,25886,2633,15,6599,24241.15,2023-07-31,2023,7,31
Zarna Pingle,"Karol Bagh, Delhi - 110026",Mattress,Yellow,Board,Mattress,1,18,47007,4557,10,926,46407.6,2022-05-12,2022,5,12
Waida Char,"Saket, Delhi - 110056",Cupboard,Black,Plastic,Cupboard,10,23,34442,3251,5,3480,35808.35,2023-05-10,2023,5,10
Dakshesh Mani,"Shalimar Bagh, Delhi - 110047",Chair,White,Board,Chair,8,15,28472,1335,20,4987,23845.6,2023-06-27,2023,6,27
Urmi Pant,"Holambi, Delhi - 110044",Cooler,Brown,Board,Cooler,9,16,30020,3000,5,9475,31369.0,2024-07-15,2024,7,15
Widisha Jhaveri,"Narela, Delhi - 110054",Mattress,Red,Plastic,Mattress,5,19,41933,2261,15,9362,37564.9,2021-09-10,2021,9,10
Ijaya Nath,"Narela, Delhi - 110047",Mandir,Blue,Metal,Mandir,8,13,30448,4246,5,1927,32959.3,2020-10-29,2020,10,29
Ekani Kannan,"Janakpuri, Delhi - 110017",Chair,Brown,Metal,Chair,3,19,44627,2195,10,7824,42139.8,2022-02-09,2022,2,9
Bhavna Pal,"Lampur Border, Delhi - 110033",Cooler,White,Board,Cooler,7,26,28025,4943,10,4184,29671.2,2023-05-12,2023,5,12
Radha Pai,"Dwarka, Delhi - 110058",Sofa,Brown,Board,Sofa,5,6,44518,2424,5,4753,44594.9,2023-02-14,2023,2,14
Caleb Bora,"Saket, Delhi - 110034",Mandir,Yellow,Glass,Mandir,8,18,5083,1986,10,5970,6362.1,2023-06-24,2023,6,24
Chatura Bahl,"Janakpuri, Delhi - 110088",Cupboard,Black,Metal,Cupboard,9,18,17251,4472,20,1596,17378.4,2021-05-10,2021,5,10
Lakshit Mishra,"Narela, Delhi - 110003",Dressing Table,Yellow,Metal,Dressing Table,1,12,47339,4324,5,6786,49079.85,2020-10-14,2020,10,14
Manya Walia,"Dwarka, Delhi - 110001",Mattress,Brown,Board,Mattress,9,19,16828,2208,5,7250,18084.2,2024-02-04,2024,2,4
Daksha More,"Rohini, Delhi - 110058",Bed - Single Bed,Grey,Iron,Bed,2,12,25301,2623,15,9442,23735.4,2024-01-23,2024,1,23
Damini Sekhon,"Shalimar Bagh, Delhi - 110008",Dressing Table,Brown,Wood,Dressing Table,1,2,46137,916,5,1817,44700.35,2022-01-05,2022,1,5
Anika Verma,"Karol Bagh, Delhi - 110090",Sofa,Green,Glass,Sofa,3,14,23403,4691,10,8180,25284.6,2020-04-11,2020,4,11
Gunbir Mohan,"Saket, Delhi - 110051",Cupboard,Blue,Glass,Cupboard,5,22,25401,4527,15,5686,25438.8,2024-02-25,2024,2,25
Vasana Sarma,"Lampur Border, Delhi - 110022",Sofa,Yellow,Glass,Sofa,2,18,16343,2752,5,7431,18140.25,2020-04-19,2020,4,19
Girindra Mannan,"Narela, Delhi - 110039",Cooler,Brown,Plastic,Cooler,4,11,44939,4400,10,6350,44405.1,2023-05-29,2023,5,29
Faris Raj,"Pranshant Vihar, Delhi - 110077",Mandir,Grey,Wood,Mandir,10,12,42905,4132,5,5842,44685.15,2020-11-01,2020,11,1
Falguni Maharaj,"Vasant Kunj, Delhi - 110047",Cooler,Green,Plastic,Cooler,6,25,23844,3370,20,8409,21771.2,2023-03-02,2023,3,2
Dayamai Char,"Pranshant Vihar, Delhi - 110062",Cupboard,Grey,Plastic,Cupboard,1,18,5301,4083,15,1262,7976.4,2024-12-02,2024,12,2
Frederick Pandit,"Pitampura, Delhi - 110081",Chair,White,Glass,Chair,8,19,43439,3862,10,3219,42570.9,2023-10-29,2023,10,29
Anirudh Srinivasan,"Janakpuri, Delhi - 110027",Chair,Grey,Glass,Chair,1,5,31876,3535,20,7544,28328.8,2022-04-20,2022,4,20
Mohini Andra,"Holambi, Delhi - 110048",Bed - Single Bed,Blue,Metal,Bed,3,6,47977,1129,10,7077,44195.4,2023-04-22,2023,4,22
Anthony Hayer,"Alipur, Delhi - 110061",Mattress,Brown,Metal,Mattress,7,11,34100,1596,5,1150,33911.2,2020-06-09,2020,6,9
Ekanta Gandhi,"Singhu Border, Delhi - 110063",Cupboard,Brown,Metal,Cupboard,3,17,26081,1200,5,7883,25916.95,2021-11-09,2021,11,9
Harinakshi Rau,"Singhu Border, Delhi - 110003",Cupboard,White,Board,Cupboard,8,26,8468,2558,20,5761,8820.8,2020-12-24,2020,12,24
George Rastogi,"Saket, Delhi - 110009",Mattress,Yellow,Wood,Mattress,4,10,26711,4005,15,4615,26108.6,2022-04-14,2022,4,14
Bhavya Menon,"Saket, Delhi - 110030",Bed - Double Bed,Green,Glass,Bed,3,19,41082,3723,10,3686,40324.5,2022-09-23,2022,9,23
Isaac Natarajan,"Lampur Border, Delhi - 110046",Bed - Single Bed,Black,Board,Bed,7,13,40565,580,10,7651,37030.5,2024-02-23,2024,2,23
Yachana Kadakia,"Saket, Delhi - 110004",Cooler,Yellow,Iron,Cooler,5,15,25052,4189,5,3222,27778.95,2022-09-07,2022,9,7
Lakshit Shenoy,"Pitampura, Delhi - 110006",Dressing Table,Black,Plastic,Dressing Table,7,11,35753,3628,20,7620,31504.8,2022-07-09,2022,7,9
Baghyawati Srivastava,"Lampur Border, Delhi - 110099",Sofa,Green,Board,Sofa,3,15,5544,1697,15,5163,6154.85,2022-12-23,2022,12,23
Vaishnavi Sabharwal,"Pitampura, Delhi - 110022",Mandir,Green,Metal,Mandir,4,23,34858,3879,20,8998,30989.6,2024-03-08,2024,3,8
Oeshi Khosla,"Narela, Delhi - 110058",Cooler,Green,Plastic,Cooler,6,21,33161,3106,5,6376,34453.65,2023-10-17,2023,10,17
Chameli Chandra,"Pranshant Vihar, Delhi - 110066",Cupboard,Yellow,Plastic,Cupboard,4,16,32037,4163,20,9625,28960.0,2023-05-27,2023,5,27
Lipika Trivedi,"Janakpuri, Delhi - 110050",Sofa,Red,Board,Sofa,4,5,33119,1957,10,2566,31568.4,2024-12-01,2024,12,1
Panini Khosla,"Pranshant Vihar, Delhi - 110054",Sofa,Green,Metal,Sofa,2,11,49031,1731,5,4714,48223.9,2020-08-08,2020,8,8
Bhavini Chaudhry,"Saket, Delhi - 110046",Sofa,Black,Plastic,Sofa,7,19,41629,4541,10,1577,41553.0,2024-12-25,2024,12,25
Teerth Saraf,"Lampur Border, Delhi - 110089",Sofa,Green,Wood,Sofa,8,10,9258,3535,15,8940,10874.05,2021-10-13,2021,10,13
Yoshita Mand,"Alipur, Delhi - 110044",Cupboard,Grey,Metal,Cupboard,10,26,34991,3381,20,4301,30697.6,2020-04-30,2020,4,30
Amara Chatterjee,"Narela, Delhi - 110073",Cooler,Red,Board,Cooler,7,9,9869,1100,15,5342,9323.65,2023-08-31,2023,8,31
Triya Sidhu,"Rohini, Delhi - 110086",Cupboard,Red,Metal,Cupboard,7,25,7833,3017,20,5997,8680.0,2023-09-27,2023,9,27
Meghana Kalla,"Pranshant Vihar, Delhi - 110030",Dressing Table,White,Board,Dressing Table,4,5,43318,2866,5,9764,43874.8,2020-12-23,2020,12,23
Adya Narula,"Lampur Border, Delhi - 110055",Cupboard,Black,Metal,Cupboard,6,16,49428,1129,5,9033,48029.15,2022-09-29,2022,9,29
Anusha Bora,"Rohini, Delhi - 110085",Cooler,White,Glass,Cooler,5,24,17521,4941,20,7658,17969.6,2020-12-22,2020,12,22
Nandini Nazareth,"Pitampura, Delhi - 110010",Cooler,Grey,Wood,Cooler,6,8,49060,1644,15,3577,43098.4,2020-08-23,2020,8,23
Anirudh Radhakrishnan,"Pranshant Vihar, Delhi - 110004",Sofa,Grey,Plastic,Sofa,6,11,31376,4153,5,8253,33752.55,2024-10-24,2024,10,24
Arya Cherian,"Alipur, Delhi - 110019",Mattress,Grey,Wood,Mattress,6,16,9670,3653,20,8204,10658.4,2023-08-16,2023,8,16
Vyanjana Kant,"Vasant Kunj, Delhi - 110068",Sofa,Red,Metal,Sofa,9,17,41655,1313,20,4292,34374.4,2023-06-08,2023,6,8
Watika Vala,"Shalimar Bagh, Delhi - 110054",Bed - Double Bed,Yellow,Glass,Bed,6,26,33921,3250,15,2523,31595.35,2022-08-07,2022,8,7
Wridesh Chawla,"Saket, Delhi - 110011",Sofa,Blue,Plastic,Sofa,9,10,13230,1797,5,4964,14275.65,2023-01-13,2023,1,13
Pranav Brar,"Rohini, Delhi - 110050",Mattress,Black,Glass,Mattress,10,11,44801,3793,20,9741,38875.2,2024-10-10,2024,10,10
Upasna Kadakia,"Rohini, Delhi - 110032",Mandir,Yellow,Iron,Mandir,9,21,44680,3405,15,6999,40872.25,2021-07-04,2021,7,4
Hamsini Sundaram,"Janakpuri, Delhi - 110002",Bed - Double Bed,Yellow,Plastic,Bed,4,23,18977,3283,15,7766,18921.0,2022-12-31,2022,12,31
Maanas Acharya,"Holambi, Delhi - 110015",Mattress,Black,Plastic,Mattress,1,7,18915,3706,20,8622,18096.8,2021-02-18,2021,2,18
Xiti Jaggi,"Holambi, Delhi - 110001",Sofa,White,Iron,Sofa,9,28,35487,1780,10,2150,33540.3,2021-06-17,2021,6,17
